Basava Shankar Eeday,81194544
Prakash Satam,80995081
Elle-Máijá Tailfeathers,81177504
Martin Scorsese,80175798
Dante Lam,80239961
Shreyas Talpade,80219019
Seth Barrish,81062293
Steve Ball,80235524
Sanjiv Jaiswal,81215481
Marta Jaenes,81005044
Daniel Raim,80147529
Denny Lu,81018860
Luis Ara,80217495
María Jose Cuevas,80141787
Oz Rodriguez,80049871
Aleksandr Chernyaev,81218079
Robert Altman,60028294
Ric Roman Waugh,80125671
Cary Murnion,80174220
Jon Alpert,80126449
Ibai Abad,80103512
Charles A. Nichols,60020948
David Ayer,70235384
John Irvin,569355
Simon Wells,60022645
David Ayer,80225915
Julio Soto Gurpide,80196379
Julien Abraham,80198859
Tsutomu Mizushima,80159876
Nate Adams,81218074
Clay Kaytis,80199682
Barbra Streisand,80203522
Qaushiq Mukherjee,80107037
Chris Sparling,80077402
Qaushiq Mukherjee,80107219
Kathryn Bigelow,60023606
Monika Mitchell,81026188
Noah Baumbach,80080109
Fernando Colomo,80988835
Josh Wakely,80208104
Troy Miller,80134827
Jacob Kornbluth,80127558
Jon Gunn,80158084
Jan Suter,80124725
Anne Fontaine,70267398
Joshua Caldwell,80108983
Mike Judge,292118
Bruce W. Smith,70003046
Eva Orner,80221584
Craig Brewer,70053833
Àlex Pastor,70122722
KVR Mahendra,81217738
Andrew Jenks,80081990
Ivan Reitman,60004471
John Schlesinger,60022413
Akiva Schaffer,70058022
Andy Tennant,60022502
Juan Carlos Rulfo,80244683
Christian Ditter,80028357
Raj R,81217739
Sergio Leone,60031884
Jim Field Smith,70117289
Bruce McCulloch,28631236
Steven Spielberg,70121502
William Brent Bell,70215455
Hugh WIlson,506464
Sam Raimi,60003508
Neal Brennan,70105132
Robert Aldrich,60004083
Marco Schnabel,70087538
Francis Ford Coppola,1181661
Lasse Hallström,60011552
Oliver Stone,70044693
Jason Reitman,70173046
Raja Gosnell,70039187
David Fincher,70044686
Robert Vince,80989043
Rocky Soraya,81021831
Raditya Dika,81021832
David Paul Meyer,80239932
Savage Steve Holland,81214223
Savage Steve Holland,80027560
Troy Nixey,70135899
Scott McAboy,81215437
Raymie Muzquiz,81215438
Stephen Herek,81214187
Joe Menendez,80160987
Vince Marcello,81215439
David R. Ellis,70178618
Eric Bross,70292700
Will Eisenberg,81214214
Matheus Souza,81020531
Sara Dosa,80191051
Bradley Walsh,80242446
Orson Welles,80085566
Morgan Neville,80124722
Benjamin Ross,70243696
Stephen Hopkins,70243692
Steve Paley,81073633
Shannon Hartman,70230138
Leslie Iwerks,70083532
Na Hyeon,80177865
Jerry Seinfeld,80117534
Houda Benyamina,80115031
Jerry Rothwell,80029708
Kristin Hanggi,80079470
Joe Dante,70127998
Alex Zamm,80160759
Chris Smith,80209608
Tilak Shetty,80182622
Dee Rees,80175694
Glenn Miller,80016471
Nicolas Winding Refn,70189289
Timo Vuorensola,81132624
Robb Dipple,80013267
Sarah Gavron,80046819
Eli Roth,70293315
Daniel Goldhaber,80177400
Asri Bendacha,81037898
Fred Cavayé,81004099
Joel Coen,80200267
Shane Acker,70113538
Wash Westmoreland,80244457
Alessandro Angulo,81196441
Mauro Scandolari,81162089
Arjun Jandyala,81217737
Shashanka Ghosh,81076114
Naoko Yamada,80093820
Sergio Pablos,80183187
Anand Tucker,70124331
Valli Bindana,81217749
Nate Adams,80158800
Makoto Shinkai,70291121
V C Abhilash,81035105
Justin G. Dyck,80224054
Nila Madhab Panda,81038832
Sameer Vidwans,81035109
Timo Tjahjanto,81030893
Nakul Singh Sawhney,81035103
Nishanth Ravindaran,81035104
Bill Guttentag,80075824
Gajendra Ahire,81035108
Swapna Waghmare Joshi,81035107
Raymond McGrath,81028556
Adele K. Thomas,81028574
Richard Bailey,81028560
Julien Leclercq,80196044
Aitor Arregi,80122177
Remo D'Souza,80136925
Radhika Rao,70040076
Volker Weicker,80117532
Manjeet Singh,70260514
Oliver Stone,80127995
Nick Mead,81156627
Gautier & Leduc,81096745
Marcus Raboy,80191804
Timothy Woodward Jr.,80191109
Lance Bangs,80004534
Matt Piedmont,70213466
Erik Matti,80222787
Christopher Guest,80244848
John Scheinfeld,80147403
Rhys Thomas,80058424
Christopher Storer,81078466
Jeremy Saulnier,80060034
Jennifer Baichwal,80205085
Tom Ford,70117297
J.M. Berrios,81152923
Josh Aronson,81171862
Alain Desrochers,80131563
Estela Renner,80107990
Jeff Wadlow,80091658
Laurent Cantet,80237420
Shannon Hartman,70174733
Raúl Campos,80183088
Natalia Valdebenito,80198018
Marcelo Galvão,80127990
Lorene Machado,80134279
Richard Donner,70044870
Kevin Reynolds,26597413
Marina Seresesky,80245356
Tony Kaye,18002692
Kenny Leon,81024100
Peter Segal,60027583
David Salzberg,80216003
Daniel Mann,60002033
Richard Brooks,70046968
Michael Kampa,81154982
Harvey Lowry,81063129
James Dearden,81074542
Jack Starrett,382650
Les Mayfield,70044705
David Lean,449931
Tarun Mansukhani,81189912
Jennifer Westcott,80215046
Robert Clouse,60036838
Valeria Golino,81179693
Stuart Baird,485218
Gregory Hoblit,1192866
Terry Gilliam,11819434
Drea Cooper,81050375
Fred M. Wilcox,516788
David Silberg,70048968
Vincente Minnelli,542137
Robert Altman,60021796
Mathieu Kassovitz,60031247
Randal Kleiser,60000577
Ernie Barbarash,80231468
Michael A. Nickles,81083786
Ken Marino,80153894
Lionel C. Martin,1179333
